id	word1	word2	headline
zh_2001	-	-	黃仁勳砸1565億入股後怎麼合作？英特爾高管全說了
zh_2002	-	-	59天、两个参数，江门中微子实验首个物理成果意味着什么？
zh_2003	-	-	惊心动魄！辅警徒手攀墙托举悬空男童
zh_2004	-	-	从康复设备到“AI教练”，广东竞技体育背后的“隐形赛道”｜荇运现场
zh_2005	-	-	李多慧「蘋果帶皮塗花生醬」當早餐！減重關鍵曝　營養師讚高招
zh_2006	-	-	山西吉县：黄河壶口瀑布初冬时节景迷人
zh_2007	-	-	院版財劃法修正草案說明記者會 #中央社直播Live
zh_2008	-	-	存量房“爆改”学生宿舍：高校掀起“置业潮”
zh_2009	-	-	路透：中國民用貨船與渡輪組「影子海軍」演練奪台
zh_2010	-	-	台南亞太球場改善進度快　獅隊開幕戰有望如期開打
zh_2011	-	-	證券 22:28 美國9月非農就業新增11.9萬人　遠超預期
zh_2012	-	-	太子集團第二波拘提8人　尼爾負責人林揚茂3人羈押禁見
zh_2013	-	-	今年2月“林允与沈腾恋情”话题登上热搜，双方工作室声明辟谣。
zh_2014	-	-	東協財經／ 布局新南向市場　國泰世華新加坡分行首推企業債券
zh_2015	-	-	文学遇见生活　未来拥抱AI　观2025年作家节盛况
zh_2016	-	-	秋日餐桌的“蟹”逅 东方鲜美碰撞西方浓醇
zh_2017	-	-	祝鸣：西芒杜铁矿成为中非合作新样板
zh_2018	-	-	車Cam直擊｜大角咀校巴入錯路口 急煞連切兩線險釀禍 網民公憤
zh_2019	-	-	视频丨中国游客赴日游锐减 日本旅游业受冲击
zh_2020	-	-	連晨翔陪產迎接愛女感觸深　方志友30萬大禮慶賀【專訪】
zh_2021	-	-	GD登大巨蛋霸氣喊「我龍哥」 合體BIGBANG喊：我不孤單
zh_2022	-	-	大看台｜通讯：42.195公里，见深港情长
zh_2023	-	-	“赤水河谷 中国酱香”区域品牌推广活动即将启幕，共筑中国白酒经典产业新高地
zh_2024	-	-	流感疫苗公费价格不如蜜雪冰城，便宜得让人心慌
zh_2025	-	-	「4生肖」年底前諸事不順！職場、財務兩頭燒　專家曝解方
zh_2026	-	-	北市擬放寬民生社區都更規定 都委會要求修改再送審
zh_2027	-	-	钟丽缇谈女儿未来规划：考拉Jaden暂不出道，现阶段专注学业
zh_2028	-	-	分析：本地数码银行难与传统银行竞争
zh_2029	-	-	佛山：传统文化与现代竞技相得益彰
zh_2030	-	-	「停自家騎樓」被開單！　住戶控：缺業績嗎　警：妨礙通行
zh_2031	-	-	美俄“28点计划”曝光，乌克兰会接受吗？
zh_2032	-	-	【文化普拉斯】最美麗主持人白嘉莉來了！ 跨界藝術的全方位人生
zh_2033	-	-	黃品源愛女腎臟感染險喪命！腰痛、發燒別輕忽　恐引發敗血症
zh_2034	-	-	老酒友私藏酒单！这一杯凭啥称“酒祖”？3秒入口真相了
zh_2035	-	-	王元丰：应对气变的全球战线仍坚强存在
zh_2036	-	-	全運｜姚潔貞為港隊壓軸戰女子1萬米列29　膝傷堅持完成「不想冇成績返去」
zh_2037	-	-	高考填志愿AI大火：信哪款AI，还是信收费专家？
zh_2038	-	-	高雄防堵濫倒廢棄物增設「智慧圍籬」 整合警政交通電眼布天羅地網 00:18 生活
zh_2039	-	-	日幣破0.2甜甜價　普發1萬元「梭哈」換5萬
zh_2040	-	-	澳博棄十六浦娛樂場 下周五最後營運日
zh_2041	-	-	潮行GBA：深圳灣文化廣場 設計綴日常
zh_2042	-	-	陈来：中华传统文化的家训家规及其现代意义
zh_2043	-	-	全民普發萬元啟動　中華電信推「歲末大回饋」購機最高折5千、贈點15,000再抽萬元好禮
zh_2044	-	-	寒潮来袭、大风呼啸，如何应对？
zh_2045	-	-	冬日健康补给站 解锁萝卜的隐藏吃法
zh_2046	-	-	质子放射治疗系统核心设备落户南方医院增城院区
zh_2047	-	-	稻草人現代舞蹈團「有可能．但現在不行」　台中演出
zh_2048	-	-	台股大漲846點　法人：AI題材加持看好動能
zh_2049	-	-	吳詩儀不敵世錦賽金牌　WB盃拳擊年終賽摘銀
zh_2050	-	-	雪场“盛装”迎客 吉林进入“冰雪时间”
zh_2051	-	-	卓榮泰：普發一萬續防詐　太子集團案應檢討
zh_2052	-	-	谷歌发布Gemini3重新定义智能，人机协作时代开启
zh_2053	-	-	中國「稀土震撼」再來？日本2原因不怕
zh_2054	-	-	韓國酷澎顧客個資外流　涉及逾4500名顧客
zh_2055	-	-	男子拍视频称“遭陌生人闯入店强吻”，接受采访时还一本正经讲述经过，警方：系夫妻摆拍，行拘8日
zh_2056	-	-	外籍人购房可申请公积金贷款！佛山发布12条楼市新政
zh_2057	-	-	火线评论｜准确理解“防止形成规模性返乡滞乡”
zh_2058	-	-	文脉华章|中文是中国贡献给世界的重要公共文化产品
zh_2059	-	-	AI淨零／ 環境部推淨零綠生活餐飲指南　倡導「吃得永續」
zh_2060	-	-	上任20天拜會韓國瑜 鄭麗文：黨部是最強後盾
zh_2061	-	-	风声｜新乡医保设置每日限额，这是医保违约？
zh_2062	-	-	《人浮於愛》楊祐寧劈腿邵雨薇　難斷簡嫚書揭「心碎真相」
zh_2063	-	-	看见｜王者荣耀KPL年度总决赛首次落地鸟巢 观众数突破6.2万创吉尼斯世界纪录
zh_2064	-	-	叡揚AI Solutions Day　佈局AI實踐藍圖
zh_2065	-	-	白俄及喬治亞記者獲沙卡洛夫獎　兩人對抗不公入獄
zh_2066	-	-	點亮前備箱！特斯拉推「原廠新配件」最低不到2千　台灣開賣
zh_2067	-	-	保溫杯恐成炸彈！陸男「熱水加清潔劑旋緊」　下秒噴飛插進牆
zh_2068	-	-	Epic携手Unity拓展游戏生态
zh_2069	-	-	男「手綁菜刀」揮舞嗆鄰! 阿嬤推助行器難逃　嚇到發抖｜TVBS新聞 @TVBSNEWS01
zh_2070	-	-	2025年中央八项规定精神贯彻执行情况网络调查问卷正式开启
zh_2071	-	-	東協財經／ 國泰金旗下世越銀行　盈餘轉增資強化資本
zh_2072	-	-	中国PC、云市场迈向万亿规模 英特尔中国区管理层详解未来战略
zh_2073	-	-	明窗 愛回家吃飯‧我鍾意食雞翼 土匪雞翼‧水牛雞翼
zh_2074	-	-	为上海拿下第九冠！“眼镜哥”徐卓一，孙海平这么说
zh_2075	-	-	開車掉入捷運8米深工地 女子奇蹟式輕傷自行爬梯脫困
zh_2076	-	-	编辑手记｜“夏衍剧作十种”如何捕获年轻人的心
zh_2077	-	-	網路交友「抽血陷阱」 民眾在民宅內被取血｜TVBS新聞 @TVBSNEWS01
zh_2078	-	-	未成年人在教培机构内训练受伤，只能自担风险？
zh_2079	-	-	小島秀夫感染A流  缺席金馬頒獎承諾再訪台
zh_2080	-	-	范姜隔19天再發聲：自律善良都是選擇　開撕粿王「暴瘦11公斤」真實模樣曝
zh_2081	-	-	武汉两江交汇处现“泾渭分明”景观
zh_2082	-	-	被認定涉不公平競爭　西班牙法院判Meta賠近5億歐元
zh_2083	-	-	多部大IP电影上映在即 全年票房有望冲击500亿元
zh_2084	-	-	王朔："选择法国"峰会一年两办,什么信号？
zh_2085	-	-	对话名医｜杨志：核药“微型导弹”如何改写肿瘤诊疗格局
zh_2086	-	-	貼布越貼越癢？醫揭關鍵真相是「這三大原因」　若輕忽下場慘！
zh_2087	-	-	英特尔18A制程处理器量产进程加速
zh_2088	-	-	《住房租赁条例》施行两月 如何更好推动新规落地？
zh_2089	-	-	韓客輪觸礁　船上267人獲救　客輪今早歸港【短片】
zh_2090	-	-	極端氣候衝擊原民社區　台加合作AI防災科技
zh_2091	-	-	領展中期分派減6% 股價曾挫7% 本港內地零售續租租金跌 料經營環境短期續惡化
zh_2092	-	-	泰官員接待29名台身障旅客　盼推廣無障礙旅遊景點
zh_2093	-	-	石虎睽違31年再現阿里山　創嘉南地區最高海拔紀錄
zh_2094	-	-	UBA》無敵政大跨季56連勝 謝昀達許願拿6連霸跟阻攻王
zh_2095	-	-	清水灣道大埔仔村屋陷火海 濃煙衝天幸無人傷 疑拖板短路釀禍
zh_2096	-	-	“7连板”热股，上演“天地天”
zh_2097	-	-	中日關係惡化  普通人被政策綁架很無奈
zh_2098	-	-	網紅賓賓哥入校直播惹議  校方報警提告
zh_2099	-	-	新界南跨部門掃黃及反黑工  共拘30人包括十名賣淫內地女子
zh_2100	-	-	黄檗山龙潭藏着多少祈雨秘密？千年摩崖石刻揭秘宋明往事
zh_2101	-	-	寻味180年武吉知马路 邂逅20年不败法式经典
zh_2102	-	-	明周娛樂 台慶「歌聲災難」幸甩身  陳豪：我原本想Rap
zh_2103	-	-	三星Galaxy S26 Ultra光圈升至f/1.4
zh_2104	-	-	府中商圈週末市集創意滿點　街頭表演輪番登場歡樂加倍
zh_2105	-	-	青岛拥堵市中心 超强智驾博弈？全新享界S9 ADS4体验
zh_2106	-	-	具身智能公司星动纪元获近10亿元融资 吉利领投
zh_2107	-	-	37歲女星體檢驚揭肝臟有瘤！  嚇到「吓」一聲：有3至4粒，驚佢變大
zh_2108	-	-	吉星高照！11月下旬「雙星順行」～12星座「乘運而上」預備備……
zh_2109	-	-	金宇彬、申敏兒「婚禮日期超玄」遭疑帶球跑！　她狂曬7枚戒指
zh_2110	-	-	政院版《財劃法》點名金馬藍委　陳玉珍：盼2.5%統籌稅款給離島
zh_2111	-	-	東協財經／ 神基：美政府停擺釀訂單延遲　記憶體漲價無立即影響
zh_2112	-	-	明周雜誌 博盡無悔  將壓力變動力  張繼聰
zh_2113	-	-	新政 |  广东首次出台养老金融专属政策
zh_2114	-	-	跨栏比赛中，为什么男子是110米栏，而女子是100米栏？
zh_2115	-	-	爷爷6000多次弯腰，背出了她的大学路！
zh_2116	-	-	中國2026年大專畢業生預計1270萬人  再創新高
zh_2117	-	-	想食明周 張大千菜單手稿：從六一絲、紹酒㸆筍等小品，足見宴席鋪排功力
zh_2118	-	-	章子怡告别标志性的长发，短发造型眼前一亮！
zh_2119	-	-	社會 23:57 彰化埔心4車事故波及超商　1名路人意識不清送醫
zh_2120	-	-	林昀儒收拾日本選手 晉級男單16強
zh_2121	-	-	換季狂掉髮！營養師揭「4食物」能防禿　養出健康秀髮不易斷
zh_2122	-	-	晚間影音新聞／打造美國總部外最大規模！Google在台成立AI研發中心
zh_2123	-	-	租房党慎选！千元内小冰箱横评：制冷拉胯 吵到失眠！
zh_2124	-	-	郭樺、鄭宏泰 郭樺、鄭宏泰：生育迷思（四）：把根留住
zh_2125	-	-	组屋内非法繁殖宠物猫出售 国大博士生与丈夫监一周罚款5万余元
zh_2126	-	-	佩斯科夫：俄美元首会晤准备工作尚未完成
zh_2127	-	-	爆发期再临，谁是地铁增长之王？
zh_2128	-	-	苗栗犬舍事件延燒　動保團體控告動防所長涉圖利
zh_2129	-	-	卖不动的“东瀛宝马”马自达，换帅救火
zh_2130	-	-	大学语文课堂上的中华文化之美 大学语文是传承中华文化、增强文化自信的重要载体。
zh_2131	-	-	Toyota RAV4雙生車威蘭達開賣！價格「比上一代便宜」
zh_2132	-	-	认精神崩溃“取消巡演” 女神卡卡现阶段最想当妈
zh_2133	-	-	SWAG證實「已邀約粿粿」！最新動向曝光　開優渥待遇伸援手
zh_2134	-	-	历经波折终被引渡回国 东南亚赌诈大佬佘伦凯的罪恶一生｜前事·后事
zh_2135	-	-	屏東河床種西瓜引蒼蠅惹議　居民盼租約滿永久停租
zh_2136	-	-	粿粿事業跌谷底！傳SWAG伸橄欖枝 平台回應曝光
zh_2137	-	-	小坪數大容積！立保科技助攻7-ELEVEN微型倉 免排隊免找櫃號
zh_2138	-	-	見證黃偉哲打造臺南成AI與綠能雙引擎城市 亞美會計師基金會再訪府城
zh_2139	-	-	如何让三座巨塔“心跳”同步？揭秘广州国际灯光节“美丽”突破背后的实力跃升
zh_2140	-	-	股匯不同調！台股狂漲「新台幣連8貶」　續寫近7個月新低
zh_2141	-	-	台灣毛孩高齡+肥胖雙危機 倍力「餵食計算機」助控管
zh_2142	-	-	孙玉胜：讲好中国科技故事是凤凰的责任与使命
zh_2143	-	-	拉詹：洞见中印经济痛点与全球产业趋势
zh_2144	-	-	赵丽颖方发文：希望大家停止传播！
zh_2145	-	-	内蒙古人拒吃外地羊肉真相：不是凡尔赛，是底线
zh_2146	-	-	探秘第三极！第二次青藏科考新成果发布
zh_2147	-	-	東協財經／ 中租-KY董事會通過背書　連帶保證新加坡兄弟公司聯貸
zh_2148	-	-	香港置地第三季度盈利下降13%
zh_2149	-	-	美俄私下磋商「28點和平計畫」　要烏割讓東部.縮減軍力
zh_2150	-	-	杨立昆离职Meta创办AI新公司
zh_2151	-	-	科技、女性与都市风景：世界文学中上海记忆的多维交织
zh_2152	-	-	视频丨当体育遇到非遗 十五运会“粤”玩越“潮”
zh_2153	-	-	Native Camp新增虛擬講師Lucas，帶來沉穩安心的英語學習體驗
zh_2154	-	-	2025广州车展本周五开幕 全球汽车产业格局重构的缩影即将来袭
zh_2155	-	-	網傳放置炸彈新北3校被點名  強化校園巡查
zh_2156	-	-	特别呈现 | 港大家族财富管理硕士新解：聚焦“代际传承”的体验式学习
zh_2157	-	-	广州：公租房轮候补贴时限从5年缩短至3年
zh_2158	-	-	理想i系列这么快就进icu了？
zh_2159	-	-	最高檢「2026神探桌曆」即起開賣　預購已破3000本
zh_2160	-	-	胡湛、罗维佳:重新认识和理解中国"Y世代"
zh_2161	-	-	华为朱懂东：鸿蒙电脑实现全链路自主可控
zh_2162	-	-	她花不到1.6萬開啟副業 如今「月賺超過40萬」親曝翻身祕訣
zh_2163	-	-	法院通报“成都27岁女子家门口被害案”：延期审理
zh_2164	-	-	叮咚买菜将于12月试行上线“求真溯源系统”
zh_2165	-	-	勞動部公布空服員病逝調查報告　長榮航：檢討調整
zh_2166	-	-	霸王茶姬创始人将与“光伏女神”结婚？天合光能证实
zh_2167	-	-	教育出版 《SPARKS》科學教育新世代
zh_2168	-	-	新疆“冬博会+热雪节”：​冰雪经济持续释放热效应
zh_2169	-	-	藍提憲法「一國兩區」　陸委會：政治語言獨到見解
zh_2170	-	-	男「手綁菜刀」揮舞嗆鄰！　阿嬤推助行器難逃　嚇到發抖
zh_2171	-	-	小林同學/怡靜學姊又贏了！打進金牌戰
zh_2172	-	-	李长安：“人机协作”放大创造的价值
zh_2173	-	-	霍巍：中国西藏考古，如何从“追赶”到“引领”
zh_2174	-	-	生活 03:59 雲林縣古坑地震規模4.3　最大震度4級
zh_2175	-	-	律政部：正检讨分层地契法令集售制度 未来或有改革方案
zh_2176	-	-	爭辦氣候峰會讓步　COP31在土耳其　但澳洲任主席
zh_2177	-	-	重建兩院關係！行政院證實「卓榮泰拜訪韓國瑜」盼國會支持2事
zh_2178	-	-	42岁胡彦斌传热恋小16岁“AI美女”
zh_2179	-	-	熬過風災》物以稀為貴！屏東早生蓮霧上市啦
zh_2180	-	-	中国动画产业，从“默默无闻”到全球竞争者
zh_2181	-	-	逆转！山东队获十五运会乒乓球女团冠军 | 图集
zh_2182	-	-	科创新苗引来金融活水（新发展理念引领高质量发展·一线故事）
zh_2183	-	-	法拉利“红”、保时捷“黑”，超豪华品牌为何冰火两重天
zh_2184	-	-	花不到1.6萬開啟副業 如今 月賺超過40萬 秘訣曝
zh_2185	-	-	“百万颜值”下的风行T5 EVO，A柱却拖了后腿
zh_2186	-	-	2024“一带一路”商协会大会在榕圆满举行
zh_2187	-	-	深耕山东、黑龙江公安系统40年 65岁毕宝文被查
zh_2188	-	-	张家栋：警惕科技新冷战，遏华注定徒劳
zh_2189	-	-	美國關稅打不倒  明昌智慧工廠逆勢突圍
