id	url	prompt
img_2_0903	https://media0.giphy.com/media/v1.Y2lkPWE1YTU4ZDcwZnE5ODQweWFzdXhkcW05NG9xNGhhNjcwYjd2NWw1Ymw1NnJmb296NCZlcD12MV9naWZzX3NlYXJjaCZjdD1n/l0IyjRfW1SMXKh2Fi/giphy.gif	When your office prank goes too far and everyone is like ______
img_2_0902	https://media0.giphy.com/media/v1.Y2lkPWE1YTU4ZDcwdG9jaG43ZGY1Zmd1bTFsdHV4NmF3YjI1OXdtc2FiYm11YW1iYm1xdiZlcD12MV9naWZzX3NlYXJjaCZjdD1n/0U9wd0Jq9nkfxEXjTY/giphy.gif	That moment when you realize the meeting is turning into chaos because ______
img_2_0901	https://media0.giphy.com/media/v1.Y2lkPWE1YTU4ZDcwMnQ5bWM5aHVqajhicjFheGZsNjVtNGdmNTF0ZzFraWNmam1pOHY5NiZlcD12MV9naWZzX3NlYXJjaCZjdD1n/7JEPMRdfPLfq1sjZUJ/giphy.gif	Trying to meet a deadline but it feels more like ______
img_2_0900	https://media4.giphy.com/media/v1.Y2lkPWE1YTU4ZDcwcjhlNGxzOGRqZ2R6amgwd3o3Y3A1cXg5YmU0djduaXZ0djllOXExNSZlcD12MV9naWZzX3NlYXJjaCZjdD1n/9lEGNc2hPkmevAciHq/giphy.gif	When you spill your coffee first thing in the morning and think ______
img_2_0899	https://media2.giphy.com/media/v1.Y2lkPWE1YTU4ZDcwdWxpeXF2a2QwbjhvamlrbmxwM2F6MHJvcWttd25sa2Z5Z214dW9jNSZlcD12MV9naWZzX3NlYXJjaCZjdD1n/75BNQgLUm1cM1gckgs/giphy.gif	Hearing workplace gossip that makes you say ______
img_2_0898	https://media2.giphy.com/media/v1.Y2lkPWE1YTU4ZDcwdWphdnBhNWxyc2c5ODVndWNqc2g2MDB5a21xdGEyMG1yZTV3MzI5dyZlcD12MV9naWZzX3NlYXJjaCZjdD1n/3mw4JPMR9Np2XhFTqV/giphy.gif	When team brainstorming sessions lead to ______
img_2_0897	https://media4.giphy.com/media/v1.Y2lkPWE1YTU4ZDcwNnM4anl1b2VpeDU1M3N1b2Z0ODF4MG9obW12d2d5NmM0Nmh2MXYwOCZlcD12MV9naWZzX3NlYXJjaCZjdD1n/2gEZghqdA1Fk1yWmCe/giphy.gif	Logging into a remote call and realizing ______
img_2_0896	https://media3.giphy.com/media/v1.Y2lkPWE1YTU4ZDcwbGhpMHRpY3MwdW5iYW9wMG03cGhpNm1ybzk5bmNuYjZjZGxxbzh5MiZlcD12MV9naWZzX3NlYXJjaCZjdD1n/iGG10YmBv5bWUmhheh/giphy.gif	When your office cubicle feels like ______
img_2_0895	https://media1.giphy.com/media/v1.Y2lkPWE1YTU4ZDcwdGphemNvN3YzOGNiMGkxbnV0YzE5NDhjM2M2dDd6ajVneGY1N3BtOCZlcD12MV9naWZzX3NlYXJjaCZjdD1n/11Un64tF2yX8JO/giphy.gif	Giving a presentation and realizing it's a fail when you say ______
img_2_0894	https://media3.giphy.com/media/v1.Y2lkPWE1YTU4ZDcwb2p4YW5tYWpmY3JlcHAwY3MxYjUwd2doN3hnbWtkYnkzcm04cDhzYiZlcD12MV9naWZzX3NlYXJjaCZjdD1n/xTiTnDpkO6GwqxUivC/giphy.gif	By the end of the workday shuffle, you feel like ______
img_2_0893	https://media1.giphy.com/media/v1.Y2lkPWE1YTU4ZDcwMjR3ZTdjZHI1eHg4OWM5dTljMjN6Z21pZnl0empvYTY5Mzh2ZXNzeSZlcD12MV9naWZzX3NlYXJjaCZjdD1n/1eeYdgFXPAhZnxlDLi/giphy.gif	When you open holiday presents only to find ______
img_2_0892	https://media0.giphy.com/media/v1.Y2lkPWE1YTU4ZDcwNTNieTRsajZ0cGU3Yms5ejZpdmMxNjV5bnRqZTNudW13cGxxOWJtNCZlcD12MV9naWZzX3NlYXJjaCZjdD1n/OnlaXUPQNqciukfRKI/giphy.gif	When your office crush says, 'Let's grab coffee sometime,' and you ______
img_2_0891	https://media0.giphy.com/media/v1.Y2lkPWE1YTU4ZDcwODB0NTBtZDJyY2xwMjVwOXpucTc1NmNnZWhuNW5xc2ljcWkxeTc3NyZlcD12MV9naWZzX3NlYXJjaCZjdD1n/S5iWYJyKCnM8cVAp3y/giphy.gif	Trying to fix a printer jam but it only gets worse because ______
img_2_0890	https://media0.giphy.com/media/v1.Y2lkPWE1YTU4ZDcwYTg4dmM2M2FhNmo0YzNwNW1xbDNpb3drZW16YjNsZGpsbXdqejM1MyZlcD12MV9naWZzX3NlYXJjaCZjdD1n/QZHiD7OOwfOIM9uutI/giphy.gif	Looking at my desk clutter like ______
img_2_0889	https://media3.giphy.com/media/v1.Y2lkPWE1YTU4ZDcwOHp3OXUzNmdxaG5uajFwenBhNTIwcmh2cnZmcHBzNnA5NXg3d2J6byZlcD12MV9naWZzX3NlYXJjaCZjdD1n/ZGHczTUuB1nw5HfFwh/giphy.gif	When your team building activity turns into ______
img_2_0888	https://media3.giphy.com/media/v1.Y2lkPWE1YTU4ZDcwdmh1cTNwZ2M0eXJsbzcwbDB3cDc5bXY5Z2NkbGppbjRmaGc2cXNpOCZlcD12MV9naWZzX3NlYXJjaCZjdD1n/S2xFGi7SYrnmB1gB4c/giphy.gif	In a client meeting and suddenly remember you have ______
img_2_0887	https://media4.giphy.com/media/v1.Y2lkPWE1YTU4ZDcwY29yNzdqYmV5OTM5NTZndzBhbmJnMHJpb3FmOXhxdmg1OThlYWpqaSZlcD12MV9naWZzX3NlYXJjaCZjdD1n/l1KVbO0TNweiChRcI/giphy.gif	When the office retreat was supposed to be relaxing but it turned into ______
img_2_0886	https://media2.giphy.com/media/v1.Y2lkPWE1YTU4ZDcwczY1eDdsc3J6cXdieTVlamEwZjRrd3pibnI5NDk3ZHBieGxoY2JidCZlcD12MV9naWZzX3NlYXJjaCZjdD1n/VhdFLpAxTT23RYlVlJ/giphy.gif	When the brainstorm session was going great until someone suggested ______
img_2_0885	https://media0.giphy.com/media/v1.Y2lkPWE1YTU4ZDcwNnBxd2FjeW5zZng0N3Mzc285eG1kNTR6Z252Njk2a3htMXlyY2ppZyZlcD12MV9naWZzX3NlYXJjaCZjdD1n/ealwLwucv1p0TMSzrF/giphy.gif	That moment during workflow struggle when you realize ______
img_2_0884	https://media3.giphy.com/media/v1.Y2lkPWE1YTU4ZDcwMGUybG9nOGtxYjB1a2J5NW9kZ2J1N3h4ZGxsYm9wbWx5ejhzNnEzeCZlcD12MV9naWZzX3NlYXJjaCZjdD1n/BjTsUYZhMdtJ1RwiOq/giphy.gif	Trying to decide on team lunch and everyone wants ______
img_2_0883	https://media1.giphy.com/media/v1.Y2lkPWE1YTU4ZDcwcGZ2cGo4dGg1dTFqcWpid3d6NndmYWs2azR0aDZjY3J1Y2tsdHZzMSZlcD12MV9naWZzX3NlYXJjaCZjdD1n/gzXWtxv7GfLYyB87c9/giphy.gif	When you ask for project feedback and get surprised by ______
img_2_0882	https://media3.giphy.com/media/v1.Y2lkPWE1YTU4ZDcwYnBxeTZoaTNyY2QxdGI0MzgyeHNzeG5od2Z4NXhhOWp5aTJhMWpkayZlcD12MV9naWZzX3NlYXJjaCZjdD1n/jP47Jiisx3id0Gqkbq/giphy.gif	Feeling presentation nerves like ______
img_2_0881	https://media2.giphy.com/media/v1.Y2lkPWE1YTU4ZDcwMHVkZ2sydjlycHltaHUybDJ1eWkyaTBhdjU3eHFvMXQ1ZjZ0ZGo5diZlcD12MV9naWZzX3NlYXJjaCZjdD1n/drxHa79LRcnGw0ZUK7/giphy.gif	When you write "borrow office supplies" on your to-do list because ______
img_2_0880	https://media4.giphy.com/media/v1.Y2lkPWE1YTU4ZDcwcjQ3MTdleWc3aHVzeTR5cGJjM3kyYWticDJpbnA5NGoxMzcwNGh4eSZlcD12MV9naWZzX3NlYXJjaCZjdD1n/1mh09rZC1hJGr6IZWR/giphy.gif	The face you make when you realize you've replied to endless emails and it's only ______
img_2_0879	https://media1.giphy.com/media/v1.Y2lkPWE1YTU4ZDcwejdidHUya284aDYxaHhodGNuMm9odTFwMXZhbzh2dXU0emI4aWNwZyZlcD12MV9naWZzX3NlYXJjaCZjdD1n/s75Bp4DOPDbjpJie6z/giphy.gif	Team conflict be like: when you wish everyone would just ______
img_2_0878	https://media3.giphy.com/media/v1.Y2lkPWE1YTU4ZDcwY3R1bTdhZ2V1NnAweHRlZGM4cm9pbXJnaTg5c3k4Z3Q3OGdoeGhtMSZlcD12MV9naWZzX3NlYXJjaCZjdD1n/3ov9jW5LkqPw06WDCw/giphy.gif	Awkward water cooler conversations always start with ______
img_2_0877	https://media2.giphy.com/media/v1.Y2lkPWE1YTU4ZDcwazl1YjlzbGV2cTRmcXR2cDkyNGV4cnl2c3g4YTFvenY1OXV2am10aSZlcD12MV9naWZzX3NlYXJjaCZjdD1n/kF5isRyGE0v1oUDQ5e/giphy.gif	When your workspace motivation is fueled purely by ______
img_2_0876	https://media2.giphy.com/media/v1.Y2lkPWE1YTU4ZDcwZ25ldWxtczFpbXg0cDJpNXRncmQ1cWx5bzdtdGozc2k5NjdoZHAycCZlcD12MV9naWZzX3NlYXJjaCZjdD1n/IzM5t0U7ZYkQ1lsJZZ/giphy.gif	Caught napping in the office? Just tell them ______
